Date,num_bags,year,region
12/27/15,8696.87,2015,Albany
12/20/15,9505.56,2015,Albany
12/13/15,8145.35,2015,Albany
12/6/15,5811.16,2015,Albany
11/29/15,6183.95,2015,Albany
11/22/15,6683.91,2015,Albany
11/15/15,8318.86,2015,Albany
11/8/15,6829.22,2015,Albany
11/1/15,11388.36,2015,Albany
10/25/15,8625.92,2015,Albany
10/18/15,8205.66,2015,Albany
10/11/15,10123.9,2015,Albany
10/4/15,8756.75,2015,Albany
9/27/15,6034.46,2015,Albany
9/20/15,9267.36,2015,Albany
9/13/15,9286.68,2015,Albany
9/6/15,7990.1,2015,Albany
8/30/15,10306.73,2015,Albany
8/23/15,10880.36,2015,Albany
8/16/15,10443.22,2015,Albany
8/9/15,9225.89,2015,Albany
8/2/15,11847.02,2015,Albany
7/26/15,13192.69,2015,Albany
7/19/15,11287.48,2015,Albany
7/12/15,24431.9,2015,Albany
7/5/15,29898.96,2015,Albany
6/28/15,26662.08,2015,Albany
6/21/15,21875.65,2015,Albany
6/14/15,29002.59,2015,Albany
6/7/15,22775.21,2015,Albany
5/31/15,23681.01,2015,Albany
5/24/15,29355.13,2015,Albany
5/17/15,26657.44,2015,Albany
5/10/15,16821.3,2015,Albany
5/3/15,12570.51,2015,Albany
4/26/15,12778.44,2015,Albany
4/19/15,14301.92,2015,Albany
4/12/15,17104.37,2015,Albany
4/5/15,10728.94,2015,Albany
3/29/15,7684.08,2015,Albany
3/22/15,9749.66,2015,Albany
3/15/15,10370.69,2015,Albany
3/8/15,9181.99,2015,Albany
3/1/15,9151.45,2015,Albany
2/22/15,9379.54,2015,Albany
2/15/15,10313.03,2015,Albany
2/8/15,10621.54,2015,Albany
2/1/15,9323.18,2015,Albany
1/25/15,10845.82,2015,Albany
1/18/15,11921.05,2015,Albany
1/11/15,8424.77,2015,Albany
1/4/15,9716.46,2015,Albany
12/27/15,66354.31,2015,Atlanta
12/20/15,58797.87,2015,Atlanta
12/13/15,61545.31,2015,Atlanta
12/6/15,50690.04,2015,Atlanta
11/29/15,53794.68,2015,Atlanta
11/22/15,56382.08,2015,Atlanta
11/15/15,47046.48,2015,Atlanta
11/8/15,48628.65,2015,Atlanta
11/1/15,65398.38,2015,Atlanta
10/25/15,56751.46,2015,Atlanta
10/18/15,60339.19,2015,Atlanta
10/11/15,86294.11,2015,Atlanta
10/4/15,59460.41,2015,Atlanta
9/27/15,45662.3,2015,Atlanta
9/20/15,86201.96,2015,Atlanta
9/13/15,75983.02,2015,Atlanta
9/6/15,94436.19,2015,Atlanta
8/30/15,61281.24,2015,Atlanta
8/23/15,57418.09,2015,Atlanta
8/16/15,59216.9,2015,Atlanta
8/9/15,67472.2,2015,Atlanta
8/2/15,53888.32,2015,Atlanta
7/26/15,57210.66,2015,Atlanta
7/19/15,61292.37,2015,Atlanta
7/12/15,58303.85,2015,Atlanta
7/5/15,70560.49,2015,Atlanta
6/28/15,65342.19,2015,Atlanta
6/21/15,74542.11,2015,Atlanta
6/14/15,61261.44,2015,Atlanta
6/7/15,72290.28,2015,Atlanta
5/31/15,51735.02,2015,Atlanta
5/24/15,56539.87,2015,Atlanta
5/17/15,45392.29,2015,Atlanta
5/10/15,46668.26,2015,Atlanta
5/3/15,66181.63,2015,Atlanta
4/26/15,41511.84,2015,Atlanta
4/19/15,43342.6,2015,Atlanta
4/12/15,50884.32,2015,Atlanta
4/5/15,45037.12,2015,Atlanta
3/29/15,43780.25,2015,Atlanta
3/22/15,62275.1,2015,Atlanta
3/15/15,46575.23,2015,Atlanta
3/8/15,43241.42,2015,Atlanta
3/1/15,49456.96,2015,Atlanta
2/22/15,43430.04,2015,Atlanta
2/15/15,44885.92,2015,Atlanta
2/8/15,38940.18,2015,Atlanta
2/1/15,51694.49,2015,Atlanta
1/25/15,36612.16,2015,Atlanta
1/18/15,40040.48,2015,Atlanta
1/11/15,47038.08,2015,Atlanta
1/4/15,46815.79,2015,Atlanta
12/27/15,144911.1,2015,BaltimoreWashington
12/20/15,144238.07,2015,BaltimoreWashington
12/13/15,150966.28,2015,BaltimoreWashington
12/6/15,118664.97,2015,BaltimoreWashington
11/29/15,105468.28,2015,BaltimoreWashington
11/22/15,121670.73,2015,BaltimoreWashington
11/15/15,129760.36,2015,BaltimoreWashington
11/8/15,144840.21,2015,BaltimoreWashington
11/1/15,157925.7,2015,BaltimoreWashington
10/25/15,156128.69,2015,BaltimoreWashington
10/18/15,151925.64,2015,BaltimoreWashington
10/11/15,168354.42,2015,BaltimoreWashington
10/4/15,172234.02,2015,BaltimoreWashington
9/27/15,151893.12,2015,BaltimoreWashington
9/20/15,174029.62,2015,BaltimoreWashington
9/13/15,151499.56,2015,BaltimoreWashington
9/6/15,168970.84,2015,BaltimoreWashington
8/30/15,185304.24,2015,BaltimoreWashington
8/23/15,178376.77,2015,BaltimoreWashington
8/16/15,155975.35,2015,BaltimoreWashington
8/9/15,164862.89,2015,BaltimoreWashington
8/2/15,166728.92,2015,BaltimoreWashington
7/26/15,178660.25,2015,BaltimoreWashington
7/19/15,200713.09,2015,BaltimoreWashington
7/12/15,193887.17,2015,BaltimoreWashington
7/5/15,206108.89,2015,BaltimoreWashington
6/28/15,211564.63,2015,BaltimoreWashington
6/21/15,224622.73,2015,BaltimoreWashington
6/14/15,249197.18,2015,BaltimoreWashington
6/7/15,225052.84,2015,BaltimoreWashington
5/31/15,217785.55,2015,BaltimoreWashington
5/24/15,234503.17,2015,BaltimoreWashington
5/17/15,227331.17,2015,BaltimoreWashington
5/10/15,224519.06,2015,BaltimoreWashington
5/3/15,209686.17,2015,BaltimoreWashington
4/26/15,218351.8,2015,BaltimoreWashington
4/19/15,225627.29,2015,BaltimoreWashington
4/12/15,201392.01,2015,BaltimoreWashington
4/5/15,191339.73,2015,BaltimoreWashington
3/29/15,163768.62,2015,BaltimoreWashington
3/22/15,176385.62,2015,BaltimoreWashington
3/15/15,197864.76,2015,BaltimoreWashington
3/8/15,192522.26,2015,BaltimoreWashington
3/1/15,171961.07,2015,BaltimoreWashington
2/22/15,190762.55,2015,BaltimoreWashington
2/15/15,179990.18,2015,BaltimoreWashington
2/8/15,180932.96,2015,BaltimoreWashington
2/1/15,164589.36,2015,BaltimoreWashington
1/25/15,217350.64,2015,BaltimoreWashington
1/18/15,173858.5,2015,BaltimoreWashington
1/11/15,155406.52,2015,BaltimoreWashington
1/4/15,141136.68,2015,BaltimoreWashington
12/27/15,23561.1,2015,Boise
12/20/15,21935.9,2015,Boise
12/13/15,21868.27,2015,Boise
12/6/15,43091.6,2015,Boise
11/29/15,16057.99,2015,Boise
11/22/15,17547.95,2015,Boise
11/15/15,25635.41,2015,Boise
11/8/15,12999.91,2015,Boise
11/1/15,12362.73,2015,Boise
10/25/15,13711.48,2015,Boise
10/18/15,8921.26,2015,Boise
10/11/15,13769.64,2015,Boise
10/4/15,5968.42,2015,Boise
9/27/15,7763.11,2015,Boise
9/20/15,10893.8,2015,Boise
9/13/15,7482.65,2015,Boise
9/6/15,6936.04,2015,Boise
8/30/15,5440.56,2015,Boise
8/23/15,7420.09,2015,Boise
8/16/15,6096.91,2015,Boise
8/9/15,7582.25,2015,Boise
8/2/15,6036.39,2015,Boise
7/26/15,6511.85,2015,Boise
7/19/15,7170.97,2015,Boise
7/12/15,9571.92,2015,Boise
7/5/15,6637.61,2015,Boise
6/28/15,5621.07,2015,Boise
6/21/15,7286.27,2015,Boise
6/14/15,7800.04,2015,Boise
6/7/15,5612.56,2015,Boise
5/31/15,7866.15,2015,Boise
5/24/15,7507.26,2015,Boise
5/17/15,6354.01,2015,Boise
5/10/15,9495.53,2015,Boise
5/3/15,6354.81,2015,Boise
4/26/15,7179.45,2015,Boise
4/19/15,7960.22,2015,Boise
4/12/15,5747.78,2015,Boise
4/5/15,6513.78,2015,Boise
3/29/15,4789.54,2015,Boise
3/22/15,3311.77,2015,Boise
3/15/15,4445.9,2015,Boise
3/8/15,4860.43,2015,Boise
3/1/15,7237.98,2015,Boise
2/22/15,7467.27,2015,Boise
2/15/15,5340.86,2015,Boise
2/8/15,3047.17,2015,Boise
2/1/15,6644.84,2015,Boise
1/25/15,4530.04,2015,Boise
1/18/15,3915.94,2015,Boise
1/11/15,4923.75,2015,Boise
1/4/15,7755.62,2015,Boise
12/27/15,86012.86,2015,Boston
12/20/15,88901.8,2015,Boston
12/13/15,89722.96,2015,Boston
12/6/15,75889.78,2015,Boston
11/29/15,74125.62,2015,Boston
11/22/15,78648.17,2015,Boston
11/15/15,87352.15,2015,Boston
11/8/15,93342.82,2015,Boston
11/1/15,98507.92,2015,Boston
10/25/15,99326.99,2015,Boston
10/18/15,91049.58,2015,Boston
10/11/15,101909.89,2015,Boston
10/4/15,103038.91,2015,Boston
9/27/15,84726.9,2015,Boston
9/20/15,95171.55,2015,Boston
9/13/15,89114.66,2015,Boston
9/6/15,95172.85,2015,Boston
8/30/15,83430.9,2015,Boston
8/23/15,95826.5,2015,Boston
8/16/15,96109.23,2015,Boston
8/9/15,94518.79,2015,Boston
8/2/15,97508.59,2015,Boston
7/26/15,100694.94,2015,Boston
7/19/15,109746.47,2015,Boston
7/12/15,148182.59,2015,Boston
7/5/15,148861.42,2015,Boston
6/28/15,143455.74,2015,Boston
6/21/15,126114.48,2015,Boston
6/14/15,151442.1,2015,Boston
6/7/15,137408.28,2015,Boston
5/31/15,142818.64,2015,Boston
5/24/15,138157.74,2015,Boston
5/17/15,149526.12,2015,Boston
5/10/15,143997.65,2015,Boston
5/3/15,118714.26,2015,Boston
4/26/15,109400.12,2015,Boston
4/19/15,115562.72,2015,Boston
4/12/15,110638.95,2015,Boston
4/5/15,115635.81,2015,Boston
3/29/15,110561.28,2015,Boston
3/22/15,102664.18,2015,Boston
3/15/15,102556.32,2015,Boston
3/8/15,114386.82,2015,Boston
3/1/15,97862.93,2015,Boston
2/22/15,100715.97,2015,Boston
2/15/15,114839.16,2015,Boston
2/8/15,106216.72,2015,Boston
2/1/15,110214.39,2015,Boston
1/25/15,116472.16,2015,Boston
1/18/15,109036.52,2015,Boston
1/11/15,111524.61,2015,Boston
1/4/15,87663.13,2015,Boston
12/27/15,55236.68,2015,BuffaloRochester
12/20/15,51165.21,2015,BuffaloRochester
12/13/15,56202.44,2015,BuffaloRochester
12/6/15,48355.65,2015,BuffaloRochester
11/29/15,42662.25,2015,BuffaloRochester
11/22/15,49642.35,2015,BuffaloRochester
11/15/15,56335.34,2015,BuffaloRochester
11/8/15,60187.87,2015,BuffaloRochester
11/1/15,54298.62,2015,BuffaloRochester
10/25/15,61283.43,2015,BuffaloRochester
10/18/15,63787.47,2015,BuffaloRochester
10/11/15,56025.17,2015,BuffaloRochester
10/4/15,57425.67,2015,BuffaloRochester
9/27/15,28438.3,2015,BuffaloRochester
9/20/15,19258.95,2015,BuffaloRochester
9/13/15,22867.43,2015,BuffaloRochester
9/6/15,25106.09,2015,BuffaloRochester
8/30/15,20483.02,2015,BuffaloRochester
8/23/15,23840.42,2015,BuffaloRochester
8/16/15,22371.73,2015,BuffaloRochester
8/9/15,24051.92,2015,BuffaloRochester
8/2/15,31622.86,2015,BuffaloRochester
7/26/15,43788.54,2015,BuffaloRochester
7/19/15,70982.41,2015,BuffaloRochester
7/12/15,74222.68,2015,BuffaloRochester
7/5/15,75277.49,2015,BuffaloRochester
6/28/15,78811.96,2015,BuffaloRochester
6/21/15,54130.44,2015,BuffaloRochester
6/14/15,95473.84,2015,BuffaloRochester
6/7/15,71990.67,2015,BuffaloRochester
5/31/15,75473.15,2015,BuffaloRochester
5/24/15,65785.96,2015,BuffaloRochester
5/17/15,74392.69,2015,BuffaloRochester
5/10/15,95285.89,2015,BuffaloRochester
5/3/15,85477.33,2015,BuffaloRochester
4/26/15,86183.43,2015,BuffaloRochester
4/19/15,85576.8,2015,BuffaloRochester
4/12/15,71752.15,2015,BuffaloRochester
4/5/15,72056.8,2015,BuffaloRochester
3/29/15,70027.47,2015,BuffaloRochester
3/22/15,71344.15,2015,BuffaloRochester
3/15/15,54157.6,2015,BuffaloRochester
3/8/15,62576.63,2015,BuffaloRochester
3/1/15,69541.74,2015,BuffaloRochester
2/22/15,62312.01,2015,BuffaloRochester
2/15/15,55357.07,2015,BuffaloRochester
2/8/15,64513.81,2015,BuffaloRochester
2/1/15,86919.58,2015,BuffaloRochester
1/25/15,58649.74,2015,BuffaloRochester
1/18/15,43421.89,2015,BuffaloRochester
1/11/15,53514.26,2015,BuffaloRochester
1/4/15,57182.88,2015,BuffaloRochester
12/27/15,1212707.01,2015,California
12/20/15,1209165.2,2015,California
12/13/15,1592438.33,2015,California
12/6/15,1510267.34,2015,California
11/29/15,1081497.47,2015,California
11/22/15,1069305.91,2015,California
11/15/15,1152918.94,2015,California
11/8/15,855636.58,2015,California
11/1/15,651915.96,2015,California
10/25/15,618031.72,2015,California
10/18/15,646990.52,2015,California
10/11/15,555041.88,2015,California
10/4/15,472090.38,2015,California
9/27/15,515245.79,2015,California
9/20/15,552209.77,2015,California
9/13/15,584419.64,2015,California
9/6/15,629688.27,2015,California
8/30/15,649475.65,2015,California
8/23/15,545248.81,2015,California
8/16/15,577651.8,2015,California
8/9/15,580768.97,2015,California
8/2/15,566776.08,2015,California
7/26/15,598607.54,2015,California
7/19/15,601233.56,2015,California
7/12/15,622965.78,2015,California
7/5/15,762371.42,2015,California
6/28/15,654819,2015,California
6/21/15,662032.34,2015,California
6/14/15,683201.17,2015,California
6/7/15,678868.68,2015,California
5/31/15,580523.01,2015,California
5/24/15,574119.93,2015,California
5/17/15,547243.56,2015,California
5/10/15,634790.89,2015,California
5/3/15,631798.44,2015,California
4/26/15,576599.58,2015,California
4/19/15,598285.63,2015,California
4/12/15,614443.51,2015,California
4/5/15,601124.94,2015,California
3/29/15,669440.18,2015,California
3/22/15,713009.12,2015,California
3/15/15,662527.26,2015,California
3/8/15,671312.66,2015,California
3/1/15,552070.01,2015,California
2/22/15,635318.73,2015,California
2/15/15,594411.66,2015,California
2/8/15,612526.38,2015,California
2/1/15,600149.24,2015,California
1/25/15,570609.87,2015,California
1/18/15,559990.93,2015,California
1/11/15,546047.53,2015,California
1/4/15,528451.74,2015,California
12/27/15,37630.04,2015,Charlotte
12/20/15,35054.76,2015,Charlotte
12/13/15,39031.59,2015,Charlotte
12/6/15,30439.26,2015,Charlotte
11/29/15,30791.41,2015,Charlotte
11/22/15,25723.09,2015,Charlotte
11/15/15,23632.22,2015,Charlotte
11/8/15,29723.04,2015,Charlotte
11/1/15,37373.73,2015,Charlotte
10/25/15,34587.41,2015,Charlotte
10/18/15,34534.79,2015,Charlotte
10/11/15,39795.83,2015,Charlotte
10/4/15,38050.77,2015,Charlotte
9/27/15,31620.63,2015,Charlotte
9/20/15,47353.43,2015,Charlotte
9/13/15,62868.31,2015,Charlotte
9/6/15,66041.86,2015,Charlotte
8/30/15,65683.65,2015,Charlotte
8/23/15,78864.57,2015,Charlotte
8/16/15,62985.56,2015,Charlotte
8/9/15,61746.27,2015,Charlotte
8/2/15,60699.91,2015,Charlotte
7/26/15,64127.07,2015,Charlotte
7/19/15,65605.47,2015,Charlotte
7/12/15,67851.56,2015,Charlotte
7/5/15,71243.15,2015,Charlotte
6/28/15,69753.61,2015,Charlotte
6/21/15,73048.34,2015,Charlotte
6/14/15,69824.22,2015,Charlotte
6/7/15,72650.56,2015,Charlotte
5/31/15,61153.08,2015,Charlotte
5/24/15,63676.95,2015,Charlotte
5/17/15,59786.84,2015,Charlotte
5/10/15,63906.65,2015,Charlotte
5/3/15,64214.79,2015,Charlotte
4/26/15,59902.38,2015,Charlotte
4/19/15,64618.32,2015,Charlotte
4/12/15,65183.51,2015,Charlotte
4/5/15,58148.27,2015,Charlotte
3/29/15,52860.94,2015,Charlotte
3/22/15,59411.65,2015,Charlotte
3/15/15,52470.09,2015,Charlotte
3/8/15,53912.29,2015,Charlotte
3/1/15,55725.59,2015,Charlotte
2/22/15,46972.92,2015,Charlotte
2/15/15,49548.44,2015,Charlotte
2/8/15,51284.33,2015,Charlotte
2/1/15,49070.43,2015,Charlotte
1/25/15,54309.81,2015,Charlotte
1/18/15,47055.08,2015,Charlotte
1/11/15,49435.79,2015,Charlotte
1/4/15,50797.56,2015,Charlotte
12/27/15,94741.09,2015,Chicago
12/20/15,94063.9,2015,Chicago
12/13/15,82588.46,2015,Chicago
12/6/15,62910.83,2015,Chicago
11/29/15,62161.46,2015,Chicago
11/22/15,73751.75,2015,Chicago
11/15/15,74984.77,2015,Chicago
11/8/15,66166.46,2015,Chicago
11/1/15,68869.94,2015,Chicago
10/25/15,66124.18,2015,Chicago
10/18/15,63116.01,2015,Chicago
10/11/15,68648.48,2015,Chicago
10/4/15,69930.27,2015,Chicago
9/27/15,70795.02,2015,Chicago
9/20/15,74891.66,2015,Chicago
9/13/15,82914.08,2015,Chicago
9/6/15,86202.35,2015,Chicago
8/30/15,73918.94,2015,Chicago
8/23/15,80272.17,2015,Chicago
8/16/15,83807.06,2015,Chicago
8/9/15,81788.18,2015,Chicago
8/2/15,82175.8,2015,Chicago
7/26/15,88152.13,2015,Chicago
7/19/15,98743.44,2015,Chicago
7/12/15,94328.48,2015,Chicago
7/5/15,129052.84,2015,Chicago
6/28/15,129786.59,2015,Chicago
6/21/15,111021.71,2015,Chicago
6/14/15,119024.61,2015,Chicago
6/7/15,105212.4,2015,Chicago
5/31/15,101425.36,2015,Chicago
5/24/15,104263.68,2015,Chicago
5/17/15,85534.2,2015,Chicago
5/10/15,93316.19,2015,Chicago
5/3/15,93715.67,2015,Chicago
4/26/15,92705.9,2015,Chicago
4/19/15,92160.87,2015,Chicago
4/12/15,94153.9,2015,Chicago
4/5/15,91422.8,2015,Chicago
3/29/15,101458.91,2015,Chicago
3/22/15,90358.9,2015,Chicago
3/15/15,97254.41,2015,Chicago
3/8/15,109455.37,2015,Chicago
3/1/15,90420.46,2015,Chicago
2/22/15,94439.89,2015,Chicago
2/15/15,97651.22,2015,Chicago
2/8/15,82336.09,2015,Chicago
2/1/15,93077.9,2015,Chicago
1/25/15,85220.93,2015,Chicago
1/18/15,98865.72,2015,Chicago
1/11/15,79298.64,2015,Chicago
1/4/15,77539.48,2015,Chicago
12/27/15,50369.3,2015,CincinnatiDayton
12/20/15,56245.76,2015,CincinnatiDayton
12/13/15,75464.86,2015,CincinnatiDayton
12/6/15,59144,2015,CincinnatiDayton
11/29/15,38977.9,2015,CincinnatiDayton
11/22/15,47140.21,2015,CincinnatiDayton
11/15/15,56845.8,2015,CincinnatiDayton
11/8/15,60246.26,2015,CincinnatiDayton
11/1/15,71626.45,2015,CincinnatiDayton
10/25/15,59603.9,2015,CincinnatiDayton
10/18/15,43077.8,2015,CincinnatiDayton
10/11/15,50536.17,2015,CincinnatiDayton
10/4/15,64105.72,2015,CincinnatiDayton
9/27/15,49128.68,2015,CincinnatiDayton
9/20/15,47094.76,2015,CincinnatiDayton
9/13/15,56180,2015,CincinnatiDayton
9/6/15,66632.12,2015,CincinnatiDayton
8/30/15,63318.92,2015,CincinnatiDayton
8/23/15,58589.27,2015,CincinnatiDayton
8/16/15,63557.7,2015,CincinnatiDayton
8/9/15,56136.97,2015,CincinnatiDayton
8/2/15,51052.19,2015,CincinnatiDayton
7/26/15,68917.85,2015,CincinnatiDayton
7/19/15,58337.87,2015,CincinnatiDayton
7/12/15,61781.42,2015,CincinnatiDayton
7/5/15,71706.32,2015,CincinnatiDayton
6/28/15,72823.95,2015,CincinnatiDayton
6/21/15,65000.04,2015,CincinnatiDayton
6/14/15,66485.56,2015,CincinnatiDayton
6/7/15,63389.74,2015,CincinnatiDayton
5/31/15,63377.28,2015,CincinnatiDayton
5/24/15,55604.51,2015,CincinnatiDayton
5/17/15,59491.63,2015,CincinnatiDayton
5/10/15,73034.51,2015,CincinnatiDayton
5/3/15,57176.48,2015,CincinnatiDayton
4/26/15,60583.96,2015,CincinnatiDayton
4/19/15,60889.38,2015,CincinnatiDayton
4/12/15,55624.64,2015,CincinnatiDayton
4/5/15,51050.29,2015,CincinnatiDayton
3/29/15,70724.27,2015,CincinnatiDayton
3/22/15,48822.51,2015,CincinnatiDayton
3/15/15,57836.43,2015,CincinnatiDayton
3/8/15,64425.57,2015,CincinnatiDayton
3/1/15,47259.72,2015,CincinnatiDayton
2/22/15,41141.35,2015,CincinnatiDayton
2/15/15,39617.86,2015,CincinnatiDayton
2/8/15,37258.67,2015,CincinnatiDayton
2/1/15,51829.32,2015,CincinnatiDayton
1/25/15,46636.08,2015,CincinnatiDayton
1/18/15,42403.04,2015,CincinnatiDayton
1/11/15,43475.66,2015,CincinnatiDayton
1/4/15,55083.44,2015,CincinnatiDayton
12/27/15,23071.78,2015,Columbus
12/20/15,20266.48,2015,Columbus
12/13/15,20165.81,2015,Columbus
12/6/15,18819.11,2015,Columbus
11/29/15,17371.46,2015,Columbus
11/22/15,18380.41,2015,Columbus
11/15/15,23023.6,2015,Columbus
11/8/15,25669.5,2015,Columbus
11/1/15,21489.11,2015,Columbus
10/25/15,17089.46,2015,Columbus
10/18/15,23459.71,2015,Columbus
10/11/15,23892.68,2015,Columbus
10/4/15,19254.83,2015,Columbus
9/27/15,18440.24,2015,Columbus
9/20/15,21237.4,2015,Columbus
9/13/15,24698.19,2015,Columbus
9/6/15,21787.18,2015,Columbus
8/30/15,24775.19,2015,Columbus
8/23/15,20871.64,2015,Columbus
8/16/15,23949.07,2015,Columbus
8/9/15,29968.97,2015,Columbus
8/2/15,23215.97,2015,Columbus
7/26/15,28990.45,2015,Columbus
7/19/15,26449.59,2015,Columbus
7/12/15,25544.6,2015,Columbus
7/5/15,30288.91,2015,Columbus
6/28/15,35543.34,2015,Columbus
6/21/15,31938.32,2015,Columbus
6/14/15,34656.36,2015,Columbus
6/7/15,33480.24,2015,Columbus
5/31/15,27507.96,2015,Columbus
5/24/15,34792.89,2015,Columbus
5/17/15,21611.56,2015,Columbus
5/10/15,27215.37,2015,Columbus
5/3/15,27235.65,2015,Columbus
4/26/15,28635.3,2015,Columbus
4/19/15,25870.22,2015,Columbus
4/12/15,24861.81,2015,Columbus
4/5/15,18571.52,2015,Columbus
3/29/15,32728.88,2015,Columbus
3/22/15,16321.19,2015,Columbus
3/15/15,22629.45,2015,Columbus
3/8/15,36170.41,2015,Columbus
3/1/15,19375.08,2015,Columbus
2/22/15,21411.43,2015,Columbus
2/15/15,24561.91,2015,Columbus
2/8/15,20393.63,2015,Columbus
2/1/15,23945.98,2015,Columbus
1/25/15,23196.35,2015,Columbus
1/18/15,27417.51,2015,Columbus
1/11/15,18981.23,2015,Columbus
1/4/15,18869.56,2015,Columbus
12/27/15,164495.27,2015,DallasFtWorth
12/20/15,139567.69,2015,DallasFtWorth
12/13/15,122485.83,2015,DallasFtWorth
12/6/15,119463.87,2015,DallasFtWorth
11/29/15,110783.37,2015,DallasFtWorth
11/22/15,115460.44,2015,DallasFtWorth
11/15/15,124103.96,2015,DallasFtWorth
11/8/15,103376.75,2015,DallasFtWorth
11/1/15,105901.09,2015,DallasFtWorth
10/25/15,101822.75,2015,DallasFtWorth
10/18/15,94315.01,2015,DallasFtWorth
10/11/15,107867.59,2015,DallasFtWorth
10/4/15,122784.54,2015,DallasFtWorth
9/27/15,114293.5,2015,DallasFtWorth
9/20/15,112113.8,2015,DallasFtWorth
9/13/15,144444.25,2015,DallasFtWorth
9/6/15,129188.38,2015,DallasFtWorth
8/30/15,110266.58,2015,DallasFtWorth
8/23/15,111144.33,2015,DallasFtWorth
8/16/15,109684.37,2015,DallasFtWorth
8/9/15,109761.68,2015,DallasFtWorth
8/2/15,103103,2015,DallasFtWorth
7/26/15,116524.06,2015,DallasFtWorth
7/19/15,133329.08,2015,DallasFtWorth
7/12/15,107362.42,2015,DallasFtWorth
7/5/15,145175.58,2015,DallasFtWorth
6/28/15,133410.7,2015,DallasFtWorth
6/21/15,143730.96,2015,DallasFtWorth
6/14/15,134774.73,2015,DallasFtWorth
6/7/15,133958.89,2015,DallasFtWorth
5/31/15,112892.03,2015,DallasFtWorth
5/24/15,101993.85,2015,DallasFtWorth
5/17/15,96117.87,2015,DallasFtWorth
5/10/15,115964.95,2015,DallasFtWorth
5/3/15,111724.32,2015,DallasFtWorth
4/26/15,102359.29,2015,DallasFtWorth
4/19/15,102270.38,2015,DallasFtWorth
4/12/15,94370.85,2015,DallasFtWorth
4/5/15,120093.08,2015,DallasFtWorth
3/29/15,109584.41,2015,DallasFtWorth
3/22/15,98562.51,2015,DallasFtWorth
3/15/15,102495.19,2015,DallasFtWorth
3/8/15,111142.58,2015,DallasFtWorth
3/1/15,107972.3,2015,DallasFtWorth
2/22/15,102738.51,2015,DallasFtWorth
2/15/15,82586.46,2015,DallasFtWorth
2/8/15,80177.93,2015,DallasFtWorth
2/1/15,90804.99,2015,DallasFtWorth
1/25/15,78188.26,2015,DallasFtWorth
1/18/15,74805.23,2015,DallasFtWorth
1/11/15,87684.88,2015,DallasFtWorth
1/4/15,89330.21,2015,DallasFtWorth
12/27/15,266590.08,2015,Denver
12/20/15,202799.96,2015,Denver
12/13/15,294366.5,2015,Denver
12/6/15,340033.61,2015,Denver
11/29/15,149739.49,2015,Denver
11/22/15,282805.93,2015,Denver
11/15/15,378320.36,2015,Denver
11/8/15,209920.36,2015,Denver
