Date,price,year,region
12/27/15,1.33,2015,Albany
12/20/15,1.35,2015,Albany
12/13/15,0.93,2015,Albany
12/6/15,1.08,2015,Albany
11/29/15,1.28,2015,Albany
11/22/15,1.26,2015,Albany
11/15/15,0.99,2015,Albany
11/8/15,0.98,2015,Albany
11/1/15,1.02,2015,Albany
10/25/15,1.07,2015,Albany
10/18/15,1.12,2015,Albany
10/11/15,1.28,2015,Albany
10/4/15,1.31,2015,Albany
9/27/15,0.99,2015,Albany
9/20/15,1.33,2015,Albany
9/13/15,1.28,2015,Albany
9/6/15,1.11,2015,Albany
8/30/15,1.07,2015,Albany
8/23/15,1.34,2015,Albany
8/16/15,1.33,2015,Albany
8/9/15,1.12,2015,Albany
8/2/15,1.45,2015,Albany
7/26/15,1.11,2015,Albany
7/19/15,1.26,2015,Albany
7/12/15,1.05,2015,Albany
7/5/15,1.35,2015,Albany
6/28/15,1.37,2015,Albany
6/21/15,1.27,2015,Albany
6/14/15,1.32,2015,Albany
6/7/15,1.07,2015,Albany
5/31/15,1.23,2015,Albany
5/24/15,1.19,2015,Albany
5/17/15,1.43,2015,Albany
5/10/15,1.26,2015,Albany
5/3/15,1.2,2015,Albany
4/26/15,1.22,2015,Albany
4/19/15,1.19,2015,Albany
4/12/15,1.13,2015,Albany
4/5/15,1.16,2015,Albany
3/29/15,1.02,2015,Albany
3/22/15,1.12,2015,Albany
3/15/15,1.11,2015,Albany
3/8/15,1.07,2015,Albany
3/1/15,0.99,2015,Albany
2/22/15,1.07,2015,Albany
2/15/15,1.06,2015,Albany
2/8/15,0.99,2015,Albany
2/1/15,0.99,2015,Albany
1/25/15,1.06,2015,Albany
1/18/15,1.17,2015,Albany
1/11/15,1.24,2015,Albany
1/4/15,1.22,2015,Albany
12/27/15,0.99,2015,Atlanta
12/20/15,1.08,2015,Atlanta
12/13/15,0.96,2015,Atlanta
12/6/15,1.07,2015,Atlanta
11/29/15,0.99,2015,Atlanta
11/22/15,1,2015,Atlanta
11/15/15,1.13,2015,Atlanta
11/8/15,1.12,2015,Atlanta
11/1/15,0.99,2015,Atlanta
10/25/15,1.09,2015,Atlanta
10/18/15,1.09,2015,Atlanta
10/11/15,0.95,2015,Atlanta
10/4/15,0.96,2015,Atlanta
9/27/15,1.07,2015,Atlanta
9/20/15,0.93,2015,Atlanta
9/13/15,1.07,2015,Atlanta
9/6/15,0.97,2015,Atlanta
8/30/15,1.15,2015,Atlanta
8/23/15,1.12,2015,Atlanta
8/16/15,1.09,2015,Atlanta
8/9/15,1.01,2015,Atlanta
8/2/15,1.15,2015,Atlanta
7/26/15,1.08,2015,Atlanta
7/19/15,0.97,2015,Atlanta
7/12/15,1.14,2015,Atlanta
7/5/15,1.01,2015,Atlanta
6/28/15,1.13,2015,Atlanta
6/21/15,0.99,2015,Atlanta
6/14/15,1.1,2015,Atlanta
6/7/15,0.99,2015,Atlanta
5/31/15,1.1,2015,Atlanta
5/24/15,0.96,2015,Atlanta
5/17/15,1.11,2015,Atlanta
5/10/15,1.1,2015,Atlanta
5/3/15,1,2015,Atlanta
4/26/15,1.12,2015,Atlanta
4/19/15,1.12,2015,Atlanta
4/12/15,0.99,2015,Atlanta
4/5/15,1.04,2015,Atlanta
3/29/15,1.11,2015,Atlanta
3/22/15,1,2015,Atlanta
3/15/15,1.12,2015,Atlanta
3/8/15,1.1,2015,Atlanta
3/1/15,0.99,2015,Atlanta
2/22/15,1.1,2015,Atlanta
2/15/15,1.06,2015,Atlanta
2/8/15,1.03,2015,Atlanta
2/1/15,0.96,2015,Atlanta
1/25/15,1.1,2015,Atlanta
1/18/15,1.11,2015,Atlanta
1/11/15,1.11,2015,Atlanta
1/4/15,1,2015,Atlanta
12/27/15,1.17,2015,BaltimoreWashington
12/20/15,1.11,2015,BaltimoreWashington
12/13/15,1.15,2015,BaltimoreWashington
12/6/15,1.04,2015,BaltimoreWashington
11/29/15,1.16,2015,BaltimoreWashington
11/22/15,1.12,2015,BaltimoreWashington
11/15/15,1.04,2015,BaltimoreWashington
11/8/15,1.05,2015,BaltimoreWashington
11/1/15,1.12,2015,BaltimoreWashington
10/25/15,1.19,2015,BaltimoreWashington
10/18/15,0.99,2015,BaltimoreWashington
10/11/15,1.24,2015,BaltimoreWashington
10/4/15,1.28,2015,BaltimoreWashington
9/27/15,1.19,2015,BaltimoreWashington
9/20/15,1.17,2015,BaltimoreWashington
9/13/15,1.09,2015,BaltimoreWashington
9/6/15,1.18,2015,BaltimoreWashington
8/30/15,1.24,2015,BaltimoreWashington
8/23/15,1.16,2015,BaltimoreWashington
8/16/15,1.14,2015,BaltimoreWashington
8/9/15,1.16,2015,BaltimoreWashington
8/2/15,1.17,2015,BaltimoreWashington
7/26/15,1.2,2015,BaltimoreWashington
7/19/15,1.18,2015,BaltimoreWashington
7/12/15,1.1,2015,BaltimoreWashington
7/5/15,1.16,2015,BaltimoreWashington
6/28/15,1.15,2015,BaltimoreWashington
6/21/15,1.16,2015,BaltimoreWashington
6/14/15,1.09,2015,BaltimoreWashington
6/7/15,1.26,2015,BaltimoreWashington
5/31/15,1.19,2015,BaltimoreWashington
5/24/15,1.18,2015,BaltimoreWashington
5/17/15,1.27,2015,BaltimoreWashington
5/10/15,1.26,2015,BaltimoreWashington
5/3/15,1.17,2015,BaltimoreWashington
4/26/15,1.29,2015,BaltimoreWashington
4/19/15,1.28,2015,BaltimoreWashington
4/12/15,1.15,2015,BaltimoreWashington
4/5/15,1.29,2015,BaltimoreWashington
3/29/15,1.25,2015,BaltimoreWashington
